TraderType,Time,EnterQty,BuyEnterQty,SellEnterQty,BuyExecutedQty,BuyExecutedPx,SellExecutedQty,SellExecutedPx,CanceledQty
1, 09:06:00-000, 3177, 3177, 0, 932, 1348.12, 0, 0.00, 0
1, 09:07:00-000, 0, 0, 0, 0, 0.00, 0, 0.00, 2230
1, 09:08:00-000, 0, 0, 0, 0, 0.00, 0, 0.00, 15
1, 09:13:00-000, 3104, 2172, 932, 1120, 1347.71, 932, 1347.43, 0
1, 09:14:00-000, 10, 10, 0, 0, 0.00, 0, 0.00, 1052
1, 09:15:00-000, 43, 33, 10, 6, 1352.00, 10, 1355.10, 10
1, 09:16:00-000, 167, 111, 56, 32, 1350.28, 56, 1352.30, 38
1, 09:17:00-000, 206, 144, 62, 66, 1349.64, 62, 1349.93, 47
1, 09:18:00-000, 641, 451, 190, 238, 1348.70, 190, 1349.68, 125
1, 09:19:00-000, 385, 274, 111, 125, 1349.50, 111, 1353.45, 156
1, 09:20:00-000, 779, 451, 328, 272, 1348.00, 328, 1350.94, 209
1, 09:21:00-000, 356, 253, 103, 60, 1348.06, 103, 1357.28, 135
1, 09:22:00-000, 544, 317, 227, 222, 1349.18, 225, 1351.19, 211
1, 09:23:00-000, 281, 155, 126, 115, 1348.56, 126, 1348.87, 71
1, 09:24:00-000, 596, 366, 230, 153, 1349.03, 228, 1356.13, 72
1, 09:25:00-000, 376, 243, 133, 131, 1349.23, 135, 1355.88, 153
1, 09:26:00-000, 634, 466, 168, 258, 1348.37, 168, 1349.42, 168
1, 09:27:00-000, 365, 241, 124, 112, 1348.72, 124, 1348.65, 178
1, 09:28:00-000, 627, 403, 224, 230, 1348.37, 224, 1348.26, 175
1, 09:29:00-000, 307, 189, 118, 137, 1347.70, 118, 1347.61, 123
1, 09:30:00-000, 690, 436, 254, 207, 1348.90, 254, 1351.23, 91
1, 09:31:00-000, 231, 149, 82, 130, 1348.91, 82, 1349.12, 156
1, 09:32:00-000, 635, 452, 183, 285, 1348.19, 183, 1347.79, 94
1, 09:33:00-000, 315, 218, 97, 103, 1348.39, 97, 1349.58, 138
1, 09:34:00-000, 606, 387, 219, 280, 1348.16, 219, 1347.67, 147
1, 09:35:00-000, 362, 224, 138, 130, 1347.84, 138, 1347.87, 90
1, 09:36:00-000, 556, 291, 265, 233, 1348.29, 265, 1348.32, 90
1, 09:37:00-000, 270, 158, 112, 117, 1348.47, 112, 1348.81, 57
1, 09:38:00-000, 645, 401, 244, 229, 1348.62, 244, 1348.12, 76
1, 09:39:00-000, 299, 175, 124, 96, 1347.70, 124, 1347.49, 110
1, 09:40:00-000, 601, 364, 237, 228, 1348.33, 237, 1348.21, 122
