TraderType,Time,EnterQty,BuyEnterQty,SellEnterQty,BuyExecutedQty,BuyExecutedPx,SellExecutedQty,SellExecutedPx,CanceledQty
1, 09:06:00-000, 3020, 3020, 0, 904, 1347.91, 0, 0.00, 0
1, 09:07:00-000, 0, 0, 0, 0, 0.00, 0, 0.00, 2107
1, 09:08:00-000, 0, 0, 0, 0, 0.00, 0, 0.00, 9
1, 09:13:00-000, 3139, 2235, 904, 901, 1348.64, 904, 1348.40, 0
1, 09:14:00-000, 9, 9, 0, 0, 0.00, 0, 0.00, 1334
1, 09:15:00-000, 9, 8, 1, 2, 1353.50, 1, 1354.00, 8
1, 09:16:00-000, 226, 180, 46, 21, 1347.28, 46, 1364.43, 24
1, 09:17:00-000, 224, 175, 49, 44, 1353.04, 49, 1361.66, 118
1, 09:18:00-000, 629, 434, 195, 196, 1350.11, 193, 1352.59, 176
1, 09:19:00-000, 388, 257, 131, 163, 1348.91, 133, 1349.08, 173
1, 09:20:00-000, 713, 514, 199, 290, 1348.47, 199, 1348.43, 203
1, 09:21:00-000, 405, 299, 106, 137, 1349.22, 106, 1349.04, 152
1, 09:22:00-000, 585, 377, 208, 235, 1348.38, 208, 1348.52, 154
1, 09:23:00-000, 251, 181, 70, 103, 1348.93, 70, 1349.46, 146
1, 09:24:00-000, 520, 357, 163, 188, 1348.33, 163, 1351.21, 92
1, 09:25:00-000, 281, 187, 94, 35, 1349.94, 94, 1385.85, 149
1, 09:26:00-000, 676, 458, 218, 241, 1348.94, 217, 1351.58, 214
1, 09:27:00-000, 290, 214, 76, 78, 1348.33, 76, 1348.19, 168
1, 09:28:00-000, 700, 385, 315, 223, 1348.06, 315, 1348.09, 155
1, 09:29:00-000, 269, 167, 102, 123, 1347.76, 102, 1348.12, 107
1, 09:30:00-000, 614, 385, 229, 268, 1347.46, 229, 1346.77, 71
1, 09:31:00-000, 327, 234, 93, 106, 1348.29, 93, 1348.14, 127
1, 09:32:00-000, 594, 415, 179, 236, 1348.53, 179, 1348.41, 142
1, 09:33:00-000, 331, 224, 107, 134, 1347.94, 107, 1347.64, 140
1, 09:34:00-000, 568, 346, 222, 181, 1348.40, 222, 1348.91, 169
1, 09:35:00-000, 319, 199, 120, 128, 1347.68, 120, 1347.09, 98
1, 09:36:00-000, 611, 346, 265, 242, 1347.55, 265, 1347.77, 123
1, 09:37:00-000, 256, 154, 102, 102, 1347.97, 102, 1347.99, 54
1, 09:38:00-000, 635, 394, 241, 230, 1348.33, 238, 1348.54, 101
1, 09:39:00-000, 320, 206, 114, 126, 1347.44, 117, 1346.71, 116
1, 09:40:00-000, 602, 382, 220, 211, 1348.31, 220, 1348.13, 155
1, 09:41:00-000, 316, 197, 119, 124, 1347.81, 119, 1348.13, 94
1, 09:42:00-000, 590, 381, 209, 175, 1349.02, 209, 1348.80, 127
1, 09:43:00-000, 360, 259, 101, 119, 1347.32, 101, 1347.61, 161
1, 09:44:00-000, 570, 369, 201, 229, 1349.61, 201, 1349.38, 168
1, 09:45:00-000, 311, 183, 128, 119, 1348.62, 128, 1347.80, 92
1, 09:46:00-000, 599, 384, 215, 267, 1348.12, 215, 1347.97, 103
1, 09:47:00-000, 286, 169, 117, 119, 1348.03, 117, 1347.00, 96
1, 09:48:00-000, 615, 385, 230, 218, 1348.62, 230, 1348.55, 88
1, 09:49:00-000, 379, 268, 111, 130, 1349.60, 111, 1348.83, 115
1, 09:50:00-000, 533, 330, 203, 247, 1348.33, 203, 1348.44, 143
1, 09:51:00-000, 286, 162, 124, 114, 1348.02, 124, 1349.01, 83
1, 09:52:00-000, 633, 414, 219, 252, 1349.18, 219, 1349.35, 86
1, 09:53:00-000, 275, 153, 122, 124, 1348.17, 122, 1347.91, 93
1, 09:54:00-000, 650, 415, 235, 274, 1348.47, 235, 1348.71, 102
1, 09:55:00-000, 323, 196, 127, 133, 1348.36, 127, 1348.93, 97
1, 09:56:00-000, 653, 380, 273, 265, 1348.14, 273, 1347.87, 115
1, 09:57:00-000, 285, 170, 115, 110, 1348.47, 115, 1347.09, 72
1, 09:58:00-000, 583, 365, 218, 179, 1348.67, 215, 1348.35, 107
1, 09:59:00-000, 329, 171, 158, 150, 1347.18, 161, 1346.21, 108
1, 10:00:00-000, 624, 373, 251, 248, 1347.51, 251, 1347.39, 71
1, 10:01:00-000, 308, 162, 146, 111, 1347.88, 146, 1347.99, 93
1, 10:02:00-000, 627, 396, 231, 205, 1348.92, 231, 1348.53, 73
1, 10:03:00-000, 262, 170, 92, 111, 1349.50, 92, 1349.54, 167
1, 10:04:00-000, 628, 381, 247, 260, 1348.99, 247, 1348.31, 80
1, 10:05:00-000, 277, 152, 125, 122, 1347.86, 125, 1347.37, 88
1, 10:06:00-000, 627, 375, 252, 239, 1348.12, 252, 1347.69, 85
1, 10:07:00-000, 301, 179, 122, 113, 1348.82, 122, 1348.56, 106
1, 10:08:00-000, 570, 339, 231, 192, 1348.90, 231, 1348.36, 94
1, 10:09:00-000, 254, 162, 92, 74, 1348.72, 92, 1348.08, 124
1, 10:10:00-000, 637, 374, 263, 254, 1347.94, 263, 1347.48, 97
